id,user_id,time,platform,is_beginner,level,country_code,game_server,fps,position_x,position_y,position_z,session_id,oneSecondAggregatedEventCounts
8816307689,49,2023-09-14T00:15:50.000Z,android,True,Dawn,MX,NrsboVOn,31.89,356.97,87.56,50.26,8380e075-7554-4adb-9ae0-290a2ebe138f,"{'player_lift': 1, 'ping': 1}"
8816307697,54,2023-09-14T00:15:50.000Z,iphoneos,True,Dawn,US,I6Fy1Rmj,29.99,222.16,157.3,-570.79,2e1e4151-7b56-4d40-b33c-92207318e7af,{'ping': 1}
8816303225,49,2023-09-14T00:15:49.000Z,android,True,Dawn,MX,NrsboVOn,31.81,353.39,78.46,52.84,8380e075-7554-4adb-9ae0-290a2ebe138f,"{'ping': 1, 'player_lift': 1, 'player_left': 1}"
8816303239,54,2023-09-14T00:15:49.000Z,iphoneos,True,Dawn,US,I6Fy1Rmj,29.99,217.32,152.81,-562.97,2e1e4151-7b56-4d40-b33c-92207318e7af,{'ping': 1}
8816298654,54,2023-09-14T00:15:48.000Z,iphoneos,True,Dawn,US,I6Fy1Rmj,29.99,212.76,148.05,-555.18,2e1e4151-7b56-4d40-b33c-92207318e7af,{'ping': 1}
8816298670,49,2023-09-14T00:15:48.000Z,android,True,Dawn,MX,NrsboVOn,31.88,349.45,69.65,55.69,8380e075-7554-4adb-9ae0-290a2ebe138f,{'ping': 1}
8816301766,238,2023-09-14T00:15:48.000Z,android,True,Dawn,ID,I1UqMAWo,16.61,378.04,65.03,-99.98,a59db456-d9c0-4a04-b9e1-4f7e033e8196,{'ping': 1}
8816295268,54,2023-09-14T00:15:47.000Z,iphoneos,True,Dawn,US,I6Fy1Rmj,29.99,208.64,143.01,-547.35,2e1e4151-7b56-4d40-b33c-92207318e7af,"{'player_joined': 1, 'ping': 1}"
8816295270,49,2023-09-14T00:15:47.000Z,android,True,Dawn,MX,NrsboVOn,31.9,344.8,63.42,62.47,8380e075-7554-4adb-9ae0-290a2ebe138f,"{'ping': 1, 'player_lift': 1}"
8816297951,238,2023-09-14T00:15:47.000Z,android,True,Dawn,ID,I1UqMAWo,16.23,378.8,67.97,-109.58,a59db456-d9c0-4a04-b9e1-4f7e033e8196,{'ping': 2}
8816293296,49,2023-09-14T00:15:46.000Z,android,True,Dawn,MX,NrsboVOn,31.76,340.17,60.34,71.04,8380e075-7554-4adb-9ae0-290a2ebe138f,"{'ping': 1, 'player_lift': 1}"
8816293297,54,2023-09-14T00:15:46.000Z,iphoneos,True,Dawn,US,EuxdNGGm,29.99,204.96,137.87,-539.34,2e1e4151-7b56-4d40-b33c-92207318e7af,{'ping': 1}
8816294855,238,2023-09-14T00:15:46.000Z,android,True,Dawn,ID,I1UqMAWo,16.69,375.35,72.96,-125.82,a59db456-d9c0-4a04-b9e1-4f7e033e8196,"{'player_lift': 1, 'ping': 1}"
8816289883,238,2023-09-14T00:15:45.000Z,android,True,Dawn,ID,I1UqMAWo,16.1,370.02,75.05,-137.99,a59db456-d9c0-4a04-b9e1-4f7e033e8196,{'ping': 1}
8816291747,54,2023-09-14T00:15:45.000Z,iphoneos,True,Dawn,US,EuxdNGGm,29.99,201.4,133.51,-530.73,2e1e4151-7b56-4d40-b33c-92207318e7af,{'ping': 1}
8816291760,49,2023-09-14T00:15:45.000Z,android,True,Dawn,MX,NrsboVOn,31.85,335.74,57.14,79.46,8380e075-7554-4adb-9ae0-290a2ebe138f,{'ping': 1}
8816285432,54,2023-09-14T00:15:44.000Z,iphoneos,True,Dawn,US,EuxdNGGm,29.99,198.14,129.08,-522.17,2e1e4151-7b56-4d40-b33c-92207318e7af,{'ping': 1}
8816285451,49,2023-09-14T00:15:44.000Z,android,True,Dawn,MX,NrsboVOn,31.8,331.26,54.24,88.06,8380e075-7554-4adb-9ae0-290a2ebe138f,{'ping': 1}
