id,user_id,time,platform,is_beginner,level,country_code,game_server,fps,position_x,position_y,position_z,session_id,oneSecondAggregatedEventCounts
8816307691,50,2023-09-14T00:15:50.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,26.58,374.0,65.03,-90.59,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 2}
8816303229,50,2023-09-14T00:15:49.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,28.85,370.21,62.37,-75.61,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,"{'ping': 1, 'player_lift': 1}"
8816298659,50,2023-09-14T00:15:48.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,26.98,370.18,58.18,-61.69,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8816295272,50,2023-09-14T00:15:47.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,30.01,375.16,57.41,-53.02,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8816293295,50,2023-09-14T00:15:46.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.99,380.94,54.42,-45.14,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8816291755,50,2023-09-14T00:15:45.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.99,379.92,52.55,-41.92,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'player_lift': 1}
8816285449,50,2023-09-14T00:15:44.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.36,375.16,53.03,-36.85,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8816281396,50,2023-09-14T00:15:43.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.89,367.64,52.84,-29.95,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8816279752,50,2023-09-14T00:15:42.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.89,365.03,52.24,-26.71,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'player_lift': 1}
8816268527,50,2023-09-14T00:15:39.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,28.55,364.26,53.42,-20.51,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8816250878,50,2023-09-14T00:15:34.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,28.87,370.79,54.21,-12.93,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8816242246,50,2023-09-14T00:15:31.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,28.07,379.11,49.01,-10.91,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8816211027,50,2023-09-14T00:15:23.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,28.18,385.74,56.51,-10.43,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8816209381,50,2023-09-14T00:15:21.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,30.0,385.74,66.52,-10.42,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8816190715,50,2023-09-14T00:15:16.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,30.66,386.41,76.61,-10.28,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,"{'ping': 1, 'player_left': 1, 'milestone_made_5_friends': 1}"
8816184139,50,2023-09-14T00:15:14.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.39,386.79,66.78,-10.3,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,"{'ping': 1, 'player_interaction': 2}"
8816178674,50,2023-09-14T00:15:12.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.62,387.02,56.35,-10.31,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8816111582,50,2023-09-14T00:14:53.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,26.33,383.92,48.36,-10.48,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'open_ability_menu': 1}
8816089593,50,2023-09-14T00:14:47.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.32,382.16,48.71,-6.02,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8816041856,50,2023-09-14T00:14:31.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.62,382.21,48.66,-11.17,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'open_ability_menu': 1}
8816030692,50,2023-09-14T00:14:30.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,30.03,382.13,48.64,-11.44,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'hand_released': 1}
8815989495,50,2023-09-14T00:14:17.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,28.2,382.2,49.86,-12.28,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,"{'ping': 1, 'hand_held': 1}"
8815983921,50,2023-09-14T00:14:16.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,30.0,382.55,67.38,-12.1,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815977799,50,2023-09-14T00:14:14.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,28.35,382.18,57.35,-12.38,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815938214,50,2023-09-14T00:14:03.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,28.63,381.62,48.53,-7.66,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815843049,50,2023-09-14T00:13:36.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.36,381.86,48.99,-12.91,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'was_charged_by_player': 1}
8815832549,50,2023-09-14T00:13:33.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.0,383.32,51.06,-11.8,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815827569,50,2023-09-14T00:13:31.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,26.18,387.27,60.14,-9.8,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815819347,50,2023-09-14T00:13:28.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,28.95,387.69,75.45,-9.51,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'player_interaction': 2}
8815809482,50,2023-09-14T00:13:25.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,30.0,383.65,80.31,-11.59,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,"{'ping': 1, 'player_lift': 1}"
8815791317,50,2023-09-14T00:13:20.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.77,382.28,58.97,-12.8,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815712557,50,2023-09-14T00:12:57.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.14,381.9,48.9,-12.56,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815558913,50,2023-09-14T00:12:11.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,28.94,381.83,48.93,-12.92,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'social_feed_impression': 1}
8815511070,50,2023-09-14T00:11:57.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,26.14,377.54,50.36,-11.94,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815435788,50,2023-09-14T00:11:33.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,27.59,368.79,54.94,-14.44,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815428941,50,2023-09-14T00:11:31.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,25.9,376.51,60.12,-10.69,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815412115,50,2023-09-14T00:11:26.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,30.68,385.69,78.14,-10.37,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815402935,50,2023-09-14T00:11:23.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.98,385.88,67.99,-10.42,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815374163,50,2023-09-14T00:11:15.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,30.13,386.15,57.97,-10.48,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815361354,50,2023-09-14T00:11:11.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,30.22,386.15,83.55,-10.48,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'player_interaction': 2}
8815358594,50,2023-09-14T00:11:10.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,30.22,386.15,83.49,-10.48,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'player_lift': 1}
8815354630,50,2023-09-14T00:11:09.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.87,386.15,81.55,-10.48,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'player_lift': 1}
8815337844,50,2023-09-14T00:11:04.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.4,386.15,77.7,-10.48,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,"{'was_charged_by_player': 2, 'player_lift': 2}"
8815315768,50,2023-09-14T00:10:58.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.33,388.68,77.67,-11.61,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815306878,50,2023-09-14T00:10:55.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.5,390.82,57.76,-12.52,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815275381,50,2023-09-14T00:10:47.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,26.35,393.0,48.25,-15.22,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815261857,50,2023-09-14T00:10:42.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.88,386.83,53.47,-26.12,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'player_lift': 1}
8815260100,50,2023-09-14T00:10:41.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,30.06,388.39,52.06,-24.23,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,"{'ping': 1, 'player_lift': 1}"
8815239518,50,2023-09-14T00:10:35.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.89,397.15,57.02,-26.5,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'player_lift': 1}
8815231903,50,2023-09-14T00:10:33.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.49,397.16,57.02,-26.52,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'player_lift': 1}
8815225394,50,2023-09-14T00:10:31.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,30.21,397.51,55.96,-26.26,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'player_lift': 1}
8815218162,50,2023-09-14T00:10:29.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,27.89,397.2,57.04,-26.39,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,"{'player_lift': 2, 'ping': 1}"
8815211580,50,2023-09-14T00:10:27.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,30.1,398.06,53.99,-25.93,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'player_lift': 1}
8815205019,50,2023-09-14T00:10:25.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,28.92,399.38,50.65,-19.13,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,"{'player_lift': 1, 'ping': 1}"
8815197824,50,2023-09-14T00:10:23.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,29.91,399.65,48.68,-9.33,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
8815179658,50,2023-09-14T00:10:18.000Z,iphoneos,True,Dawn,AR,EuxdNA+l,28.8,389.95,47.98,-6.89,5d1cc7dd-f4c7-41ec-932f-910a0ecd5b2f,{'ping': 1}
