id,user_id,time,platform,is_beginner,level,country_code,game_server,fps,position_x,position_y,position_z,session_id,oneSecondAggregatedEventCounts
8816271567,0,2023-09-14T00:15:40.000Z,android,TRUE,Dawn,US,NCok0c6i,31.75,117,1.39,306.74,06a23532-5397-48c4-9194-aeb597a818e8,{'ping': 1}
8816234626,0,2023-09-14T00:15:29.000Z,android,TRUE,Dawn,US,NCok0c6i,30.31,117.96,2.19,310.83,06a23532-5397-48c4-9194-aeb597a818e8,{'wingbuff_collect': 1}
8816199372,0,2023-09-14T00:15:20.000Z,android,TRUE,Dawn,US,NCok0c6i,29.11,117.27,1.22,326.77,06a23532-5397-48c4-9194-aeb597a818e8,{'ping': 1}
8816192860,0,2023-09-14T00:15:17.000Z,android,TRUE,Dawn,US,NCok0c6i,30.19,117.28,1.01,336.85,06a23532-5397-48c4-9194-aeb597a818e8,{'ping': 1}
8816180787,0,2023-09-14T00:15:14.000Z,android,TRUE,Dawn,US,NCok0c6i,31.79,114.89,8.07,355.38,06a23532-5397-48c4-9194-aeb597a818e8,{'ping': 1}
8816174418,0,2023-09-14T00:15:11.000Z,android,TRUE,Dawn,US,NCok0c6i,30.29,111.17,9.46,364.71,06a23532-5397-48c4-9194-aeb597a818e8,{'ping': 1}
8816163529,0,2023-09-14T00:15:09.000Z,android,TRUE,Dawn,US,NCok0c6i,30.46,103.15,7.71,371.57,06a23532-5397-48c4-9194-aeb597a818e8,{'ping': 1}
8816151087,0,2023-09-14T00:15:05.000Z,android,TRUE,Dawn,US,NCok0c6i,31.79,96.06,7.75,378.71,06a23532-5397-48c4-9194-aeb597a818e8,{'ping': 1}
8816139518,0,2023-09-14T00:15:02.000Z,android,TRUE,Dawn,US,NCok0c6i,31.12,88.83,7.32,385.69,06a23532-5397-48c4-9194-aeb597a818e8,{'ping': 1}
8816276490,1,2023-09-14T00:15:41.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.93,304.29,82.41,54.88,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816271576,1,2023-09-14T00:15:40.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.75,295.34,80.1,59.07,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816264911,1,2023-09-14T00:15:38.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.46,276.64,74.93,54.12,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 2}
8816257424,1,2023-09-14T00:15:36.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.66,271.75,68.76,35.65,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816255898,1,2023-09-14T00:15:35.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.85,281.37,69.22,32.54,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816245689,1,2023-09-14T00:15:32.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.8,289.8,72.27,28.02,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 2}
8816243734,1,2023-09-14T00:15:31.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.79,269.88,69.67,30.76,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816239018,1,2023-09-14T00:15:30.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.81,259.72,68.19,31.95,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816234644,1,2023-09-14T00:15:29.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.81,249.35,66.67,33.19,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816232743,1,2023-09-14T00:15:28.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.78,239.79,63.34,35.07,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816227784,1,2023-09-14T00:15:27.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.78,230.42,60.19,36.78,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816223190,1,2023-09-14T00:15:26.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.82,220.52,59.56,38.37,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816215737,1,2023-09-14T00:15:24.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.84,201.66,58.44,44.95,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816207727,1,2023-09-14T00:15:22.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.56,183.3,52.56,52.1,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 2}
8816199388,1,2023-09-14T00:15:20.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.83,164.33,46.72,55.7,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816195088,1,2023-09-14T00:15:18.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.26,146.65,36.91,55.54,9213ef4a-9cbe-4c08-b86b-dd83137beb50,"{'ping': 1, 'open_ability_menu': 1}"
8816192874,1,2023-09-14T00:15:17.000Z,android,TRUE,Dawn,CA,EuxdNAyj,20.24,137.66,31.85,54.47,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816186308,1,2023-09-14T00:15:15.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.85,118.23,26.85,50.83,9213ef4a-9cbe-4c08-b86b-dd83137beb50,"{'wingbuff_collect': 1, 'ping': 1}"
8816148096,1,2023-09-14T00:15:04.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.92,108.95,23.76,47.47,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816145100,1,2023-09-14T00:15:03.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.9,111.42,33.26,50.44,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
8816139503,1,2023-09-14T00:15:02.000Z,android,TRUE,Dawn,CA,EuxdNAyj,21.61,117.72,38.43,56.79,9213ef4a-9cbe-4c08-b86b-dd83137beb50,{'ping': 1}
