id,user_id,time,platform,is_beginner,level,country_code,game_server,fps,position_x,position_y,position_z,session_id,oneSecondAggregatedEventCounts
8667257182,32255,2023-09-13T11:35:45.000Z,android,True,Dawn,VN,NrsboQij,21.95,340.6,194.85,-763.79,9e57e287-ffaf-4d07-8000-3989527c0523,"{'ping': 1, 'player_lift': 1}"
8667257192,32228,2023-09-13T11:35:45.000Z,iphoneos,True,Dawn,US,EuxdNOKl,30.0,346.25,200.01,-797.34,b192ea0e-5c70-4955-8aae-09c4ec99ca47,{'ping': 1}
8667257201,32105,2023-09-13T11:35:45.000Z,iphoneos,True,Dawn,JP,I1UqMGao,30.0,405.5,101.26,-22.93,502f192f-d4e2-4272-b97c-d5736d2ca8fa,{'ping': 1}
8667257211,32295,2023-09-13T11:35:45.000Z,iphoneos,True,Dawn,VN,I6Fy1YWm,27.93,212.67,3.95,-62.42,47d6b4e2-4a66-46e8-a280-3c514d942e66,"{'constellation_gate_unlock': 1, 'milestone_made_5_friends': 1}"
8667257237,31167,2023-09-13T11:35:45.000Z,nx,True,Dawn,IT,NCok0eWj,28.42,119.45,1.21,316.49,81142a54-ebd5-41c2-adbb-5b36fe803578,{'ping': 1}
8667257250,32213,2023-09-13T11:35:45.000Z,ps4,True,Dawn,US,NCok0T6i,59.94,192.15,128.95,-501.95,687fe972-3292-4ad0-a630-f6161c9f1115,"{'ping': 1, 'milestone_made_5_friends': 1, 'player_joined': 1}"
8667257322,30835,2023-09-13T11:35:45.000Z,android,True,Dawn,JP,I1oKiLGi,21.73,61.94,35.45,377.61,b025b105-514c-4614-bfa7-8b4f88f4596e,"{'ping': 1, 'was_charged_by_player': 1}"
8667257371,31970,2023-09-13T11:35:45.000Z,iphoneos,True,Dawn,JP,NrkkgLSi,6.34,395.83,119.29,16.33,921712fa-c54b-43b3-961a-6bce2fa73b44,{'ping': 2}
8667257376,32209,2023-09-13T11:35:45.000Z,ps4,True,Dawn,BR,NCok0T6i,36.06,192.92,127.03,-502.14,20c8ee1e-26f9-4488-8d26-872b0527de7d,"{'ping': 1, 'milestone_made_5_friends': 1, 'player_joined': 1}"
8667257461,32225,2023-09-13T11:35:45.000Z,huawei,True,Dawn,CN,I1oKiPeh,31.28,182.48,23.28,152.22,befeb948-ab5c-4492-b1e6-0cf9f67fd6ef,{'ping': 1}
8667257470,31277,2023-09-13T11:35:45.000Z,iphoneos,True,Dawn,ID,NrkkgACi,29.97,94.59,6.13,375.42,2358e100-f609-4cbb-b371-c06681e40a99,{'dawn_tunnel_jump': 1}
8667257476,28097,2023-09-13T11:35:45.000Z,android,True,Dawn,HK,NrkkgFih,21.95,54.54,682.94,370.35,adcbf269-ba0d-4850-a4c4-12c03657cf96,{'ping': 1}
8667257485,32150,2023-09-13T11:35:45.000Z,nx,True,Dawn,JP,I1r1Zhqi,27.32,85.2,23.59,167.91,61823278-22d0-40c1-a898-d8d23f9b78d3,"{'ping': 1, 'player_lift': 1, 'was_charged_by_player': 1}"
8667257499,31868,2023-09-13T11:35:45.000Z,android,True,Dawn,MY,I1r1Zuqk,30.87,318.1,188.21,-742.04,993758a2-3ee1-4a88-9f96-842ab8e4107e,{'ping': 1}
8667257543,32176,2023-09-13T11:35:45.000Z,iphoneos,True,Dawn,JP,NrkkgDul,30.0,187.63,82.76,-505.31,cd4ac500-e829-44be-ab08-fd0a1c88eeff,{'ping': 1}
8667257576,30605,2023-09-13T11:35:45.000Z,android,True,Dawn,PH,EuxdNGaj,15.4,177.65,37.07,175.5,4db05a5a-02c9-4079-bd63-6f836fe9f2e2,{'was_charged_by_player': 1}
8667257593,31560,2023-09-13T11:35:45.000Z,android,True,Dawn,TH,NrkkgFqj,16.18,90.59,5.01,68.6,0f355399-3e98-445c-b793-7ddf490a5859,{'ping': 1}
8667257599,32237,2023-09-13T11:35:45.000Z,iphoneos,True,Dawn,IT,NrsbofOg,59.99,399.34,117.6,-4.57,a8dec564-da10-465a-9ee5-60b1fa2c22b7,{'ping': 1}
8667257606,31518,2023-09-13T11:35:45.000Z,iphoneos,True,Dawn,JP,AGT/mwAAAAAAAAAAI1UqMLWl,29.98,370.32,54.59,-13.99,9980be0b-6ea3-4274-b5dc-690309835e5c,"{'ping': 1, 'social_feed_impression': 1}"
8667257654,32268,2023-09-13T11:35:45.000Z,android,True,Dawn,PH,I1mQolqo,31.39,6.76,3.77,166.1,92731671-805d-4c57-a50d-57624779a780,{'ping': 1}
8667257656,32233,2023-09-13T11:35:45.000Z,ps4,True,Dawn,JP,Nsp4ulim,37.41,362.99,50.75,-31.66,07f69ed4-b189-467b-ba7f-1d3325ec7c5a,{'ping': 1}
8667257680,31667,2023-09-13T11:35:45.000Z,nx,True,Dawn,JP,I6Fy1bim,27.17,76.11,-1.11,191.73,ae6a2459-cab8-4430-acc1-8f859193817f,{'ping': 1}
8667257690,31196,2023-09-13T11:35:45.000Z,android,True,Dawn,RU,I1r1Zuqk,31.09,295.68,191.51,-695.59,71ae7bec-e9ce-41fb-ab9b-3889ea7473c4,{'ping': 1}
8667257700,32079,2023-09-13T11:35:45.000Z,iphoneos,True,Dawn,JP,NrkkgA2k,26.73,190.86,156.13,-193.06,c28b8ab9-ceda-4b38-8f58-4704adb29b4f,{'ping': 1}
8667257708,32064,2023-09-13T11:35:45.000Z,android,True,Dawn,ID,I6Fy1byh,20.85,153.65,102.26,-220.27,d4b6b271-c9e0-4dc2-a45b-d1d5cda23668,{'ping': 1}
8667257769,32106,2023-09-13T11:35:45.000Z,android,True,Dawn,CO,NrkkgACl,31.43,156.33,103.52,-294.5,6eff7111-0850-47b9-9eed-9efc470733b8,{'ping': 1}
8667259552,31492,2023-09-13T11:35:45.000Z,android,True,Dawn,CN,NrsboTao,31.66,154.99,86.03,-250.33,6e939790-dc7f-4317-a138-73e2daf8e491,"{'carry_collectible': 1, 'quest_reward_given': 1}"
8667259577,32215,2023-09-13T11:35:45.000Z,iphoneos,True,Dawn,TH,NrkkgAmi,30.01,156.02,103.59,-292.7,fc544931-6997-45aa-abf5-e0a3fc403ea7,{'spirit_shop_item_viewed': 2}
8667259594,31995,2023-09-13T11:35:45.000Z,iphoneos,True,Dawn,JP,I1UqMOGh,60.01,78.08,14.07,246.25,6150f6e4-8fd2-44c2-89da-fbac8f8009f9,"{'ping': 1, 'player_lift': 1, 'was_charged_by_player': 1}"
8667259613,31678,2023-09-13T11:35:45.000Z,nx,True,Dawn,JP,I1mQogOn,25.91,67.39,33.6,391.6,17e14812-bd09-4a6e-980a-226e63e60bb8,"{'ping': 1, 'player_lift': 1, 'was_charged_by_player': 2}"
